District Name,State,Classification
Munseli,Chhattisgarh,Green Zone
Balrampur,Chhattisgarh,Green Zone
Bemetara,Chhattisgarh,Green Zone
Dadra And Nasar Haveli,Dadra And Nasar Haveli,Green Zone
Daman,Daman And Diu,Green Zone
Diu,Daman And Diu,Green Zone
South East,Delhi,Red Zone
Central,Delhi,Red Zone
North,Delhi,Red Zone
South,Delhi,Red Zone
North East,Delhi,Red Zone
West,Delhi,Red Zone
Shahdara,Delhi,Red Zone
East,Delhi,Red Zone
New Delhi,Delhi,Red Zone
North West,Delhi,Red Zone
South West,Delhi,Red Zone
North Goa,Goa,Green Zone
South Goa,Goa,Green Zone
Ahmadabad,Guiarat,Red Zone
Surat,Guiarat,Red Zone
Vadodara,Gujarat,Red Zone
Anand,Gujarat,Red Zone
Banas Kantha,Gujarat,Red Zone
PanchMahals,Gujarat,Red Zone
Bhavnagar,Gujarat,Red Zone
Gandhinagar,Gujarat,Red Zone
Arvalli,Gujarat,Red Zone
Rajkot,Gujarat,Orange Zone
Bha ruch,Gujarat,Orange Zone
Botad,Gujarat,Orange Zone
Narmada,Gujarat,Orange Zone
Chhotaudepur,Gujarat,Orange Zone
Mahisagar,Gujarat,Orange Zone
Mahesana,Gujarat,Orange Zone
Patan,Gujarat,Orange Zone
Kheda,Gujarat,Orange Zone
Valsad,Gujarat,Orange Zone
Dohad,Gujarat,Orange Zone
Kachchh,Gujarat,Orange Zone
Navsari,Gujarat,Orange Zone
GirSomnath,Guiarat,Orange Zone
Dang,Gujarat,Orange Zone
Sa ba rKa ntha,Guiarat,Orange Zone
Tapi,Gujarat,Orange Zone
Jamnagar,Guiarat,Orange Zone
Surendranagar,Guiarat,Orange Zone
Morbi,Guiarat,Green Zone
Amreli,Guiarat,Green Zone
Porbandar,Guiarat,Green Zone
Junagadh,Guiarat,Green Zone
DevbhumiDwarka,Guiarat,Green Zone
Sonipat,Haryana,Red Zone
Faridabad,Haryana,Red Zone
Gurugram,Haryana,Orange Zone
Nuh,Haryana,Orange Zone
Panipat,Haryana,Orange Zone
Panchkula,Haryana,Orange Zone
Palwal,Haryana,Orange Zone
Rohtak,Haryana,Orange Zone
Hisar,Haryana,Orange Zone
Ambala,Haryana,Orange Zone
Jhajjar,Haryana,Orange Zone
Bhiwani,Haryana,Orange Zone
Kaithal,Haryana,Orange Zone
Kurukshetra,Haryana,Orange Zone
KarnaI,Haryana,Orange Zone
Jind,Haryana,Orange Zone
Sirsa,Haryana,Orange Zone
Yamunanagar,Haryana,Orange Zone
Fatehabad,Haryana,Orange Zone
CharkiDadri,Haryana,Orange Zone
Mahendragarh,Haryana,Green Zone
Rewari,Haryana,Green Zone
Una,Himachal Pradesh,Orange Zone
Chamba,Himachal Pradesh,Orange Zone
Hamirpur,Himachal Pradesh,Orange Zone
Kangra,Himachal Pradesh,Orange Zone
Sirmaur,Himachal Pradesh,Orange Zone
Solan,Himachal Pradesh,Orange Zone
Bilaspur,Himachal Pradesh,Green Zone
Kinnaur,Himachal Pradesh,Green Zone
Kullu,Himachal Pradesh,Green Zone
Lahul And Spiti,Himachal Pradesh,Green Zone
Mandi,Himachal Pradesh,Green Zone
Shimla,Himachal Pradesh,Green Zone
Bandipora,Jammu And Kashmir,Red Zone
Shopian,Jammu And Kashmir,Red Zone
Anantnag,Jammu And Kashmir,Red Zone
Srinagar,Jammu And Kashmir,Red Zone
Baramulla,Jammu And Kashmir,Orange Zone
Kupwara,Jammu And Kashmir,Orange Zone
Ganderbal,Jammu And Kashmir,Orange Zone
Jammu,Jammu And Kashmir,Orange Zone
Udhampur,Jammu And Kashmir,Orange Zone
Kulgam,Jammu And Kashmir,Orange Zone
Budgam,Jammu And Kashmir,Orange Zone
Samba,Jammu And Kashmir,Orange Zone
Kathua,Jammu And Kashmir,Orange Zone
Rajouri,Jammu And Kashmir,Orange Zone
Ramban,Jamrnu And Kashmir,Orange Zone
Reasi,Jammu And Kashmir,Orange Zone
Pulwama,Jammu And Kashmir,Green Zone
Kishtwar,Jammu And Kashmir,Green Zone
Doda,Jammu And Kashmir,Green Zone
Poonch,Jammu And Kashmir,Green Zone
Ranchi,Jharkhand,Red Zone
Bokaro,Jharkhand,Orange Zone
Garhwa,Jharkhand,Orange Zone
Dhanbad,Jharkhand,Orange Zone
Deoghar,Jharkhand,Orange Zone
Hazaribagh,Jharkhand,Orange Zone
Simdega,Jharkhand,Orange Zone
Giridih,Jharkhand,Orange Zone
Koderma,Jharkhand,Orange Zone
Jamtara,Jharkhand,Orange Zone
Chatra,Jharkhand,Green Zone
Dumka,Jharkhand,Green Zone
East Singhbum,Jharkhand,Green Zone
Godda,Jharkhand,Green Zone
Gumla,Jharkhand,Green Zone
Lateha r,Jharkhand,Green Zone
Lohardaga,Jharkhand,Green Zone
Pakur,Jharkhand,Green Zone
Palamu,Jharkhand,Green Zone
Sahebganj,Jharkhand,Green Zone
Saraikela Kha rsawan,Jharkhand,Green Zone
West Singhbhum,Jharkhand,Green Zone
Khunti,Jharkhand,Green Zone
Ramgarh,Jharkhand,Green Zone
Bengaluru Urban,Karnataka,Red Zone
Mysuru,Karnataka,Red Zone
Bengaluru Rural,Karnataka,Red Zone
Belagavi,Karnataka,Orange Zone
Vijayapura,Karnataka,Orange Zone
Kalaburagi,Karnataka,Orange Zone
Bagalkote,Karnataka,Orange Zone
Mandya,Karnataka,Orange Zone
Ballari,Karnataka,Orange Zone
Dharwad,Karnataka,Orange Zone
Dakshina Kannada,Karnataka,Orange Zone
Bidar,Karnataka,Orange Zone
Chikkaballapura,Karnataka,Orange Zone
Gadag,Karnataka,Orange Zone
Uttara Kannada,Karnataka,Orange Zone
Tumakuru,Karnataka,Orange Zone
Davangere,Karnataka,Green Zone
Udupi,Karnataka,Green Zone
Chamarajanagara,Karnataka,Green Zone
Chikkamagaluru,Karnataka,Green Zone
Chitrad urga,Karnataka,Green Zone
Hassan,Karnataka,Green Zone
Haveri,Karnataka,Green Zone
Kodagu,Karnataka,Green Zone
Kolar,Karnataka,Green Zone
Koppal,Karnataka,Green Zone
Raichur,Karnataka,Green Zone
Shivamogga,Karnataka,Green Zone
Ramanagara,Karnataka,Green Zone
Yadgir,Karnataka,Green Zone
Kannur,Kerala,Red Zone
Kottayam,Kerala,Red Zone
Kasaragod,Kerala,Orange Zone
ldukki,Kerala,Orange Zone
Kozhikode,Kerala,Orange Zone
Kollam,Kerala,Orange Zone
Pa la kkad,Kerala,Orange Zone
Patha namthitta,Kerala,Orange Zone
Malappuram,Kerala,Orange Zone
Thi ruvananthapuram,Kerala,Orange Zone
Alappuzha,Kerala,Orange Zone
Thrissur,Kerala,Orange Zone
Ernakulam,Kerala,Green Zone
Wayanad,Kerala,Green Zone
LehLada kh,Ladakh,Orange Zone
Kargil,Ladakh,Orange Zone
Lakshadweep District,Lakshadweep,Green Zone
lndore,Madhya Pradesh,Red Zone
Bhopal,Madhya Pradesh,Red Zone
Ujjain,Madhya Pradesh,Red Zone
Jabalpur,Madhya Pradesh,Red Zone
Dhar,Madhya Pradesh,Red Zone
Barwani,Madhya Pradesh,Red Zone
East Nimar,Madhya Pradesh,Red Zone
Dewas,Madhya Pradesh,Red Zone
Gwalior,Madhya Pradesh,Red Zone
Khargone,Madhya Pradesh,Orange Zone
Raisen,Madhya Pradesh,Orange Zone
Hoshangabad,Madhya Pradesh,Orange Zone
Ratlam,Madhya Pradesh,Orange Zone
Agar Malwa,Madhya Pradesh,Orange Zone
Mandsaur,Madhya Pradesh,Orange Zone
Sagar,Madhya Pradesh,Orange Zone
Shajapur,Madhya Pradesh,Orange Zone
Chhindwara,Madhya Pradesh,Orange Zone
Alirajpur,Madhya Pradesh,Orange Zone
Tikamgarh,Madhya Pradesh,Orange Zone
Shahdol,Madhya Pradesh,Orange Zone
Sheopur,Madhya Pradesh,Orange Zone
Dindori,Madhya Pradesh,Orange Zone
Burhanpur,Madhya Pradesh,Orange Zone
Harda,Madhya Pradesh,Orange Zone
Betul,Madhya Pradesh,Orange Zone
Vidisha,Madhya Pradesh,Orange Zone
Morena,Madhya Pradesh,Orange Zone
Rewa,Madhya Pradesh,Green Zone
Ashoknagar,Madhya Pradesh,Green Zone
Rajgarh,Madhya Pradesh,Green Zone
Shivpuri,Madhya Pradesh,Green Zone
Anuppur,Madhya Pradesh,Green Zone
Ba lashat,Madhya Pradesh,Green Zone
Bhind,Madhya Pradesh,Green Zone
Chhatarpur,Madhya Pradesh,Green Zone
Damoh,Madhya Pradesh,Green Zone
Datia,Madhya Pradesh,Green Zone
Guna,Madhya Pradesh,Green Zone
J ha bua,Madhya Pradesh,Green Zone
Katni,Madhya Pradesh,Green Zone
Mandla,Madhya Pradesh,Green Zone
Narsinghpur,Madhya Pradesh,Green Zone
Neemuch,Madhya Pradesh,Green Zone
Panna,Madhya Pradesh,Green Zone
Satna,Madhya Pradesh,Green Zone
Sehore,Madhya Pradesh,Green Zone
Seoni,Madhya Pradesh,Green Zone
stdhi,Madhya Pradesh,Green Zone
Umaria,Madhya Pradesh,Green Zone
Singrauli,Madhya Pradesh,Green Zone
Niwari,Madhya Pradesh,Green Zone
Mumbai,Maharashtra,Red Zone
Pune,Maharashtra,Red Zone
Thane,Maharashtra,Red Zone
Nashik,Maharashtra,Red Zone
Palghar,Maharashtra,Red Zone
Nagpur,Maharashtra,Red Zone
Solapur,Maharashtra,Red Zone
Yavatmal,Maharashtra,Red Zone
Aurangabad,Maharashtra,Red Zone
Sata ra,Maharashtra,Red Zone
Dhule,Maharashtra,Red Zone
Akola,Maharashtra,Red Zone
Jalgaon,Maharashtra,Red Zone
Mumbai Suburban,Maharashtra,Red Zone
Raigad,Maharashtra,Orange Zone
Ahmednagar,Maharashtra,Orange Zone
Amravati,Maharashtra,Orange Zone
Buldhana,Maharashtra,Orange Zone
Nandurbar,Maharashtra,Orange Zone
Kolhapur,Maharashtra,Orange Zone
Hingoli,Maharashtra,Orange Zone
Ratnagiri,Maharashtra,Orange Zone
Jalna,Maharashtra,Orange Zone
Nanded,Maharashtra,Orange Zone
Chandrapur,Maharashtra,Orange Zone
Parbhani,Maharashtra,Orange Zone
Sangli,Maharashtra,Orange Zone
Latur,Maharashtra,Orange Zone
Bhandara,Maharashtra,Orange Zone
Beed,Maharashtra,Orange Zone
Osmanabad,Maharashtra,Green Zone
Washim,Maharashtra,Green Zone
Sindhudurg,Maharashtra,Green Zone
Gondia,Maharashtra,Green Zone
Gadchiroli,Maharashtra,Green Zone
Wardha,Maharashtra,Green Zone
lmphalWest,Manipur,Green Zone
Thoubal,Manipur,Green Zone
Bishnupur,Manipur,Green Zone
Chandel,Manipur,Green Zone
Churachandpur,Manipur,Green Zone
lmphal East,Manipur,Green Zone
Senapati,Manipur,Green Zone
Tamenglong,Manipur,Green Zone
Ukhrul,Manipur,Green Zone
Kakching,Manipur,Green Zone
Kangpokpi,Manipur,Green Zone
Jiribam,Manipur,Green Zone
Noney,Manipur,Green Zone
Pherzawl,Manipur,Green Zone
Tengnoupal,Manipur,Green Zone
Kamjong,Manipur,Green Zone
East Khasi Hills,Meghalaya,Orange Zone
East Garo Hills,Meghalaya,Green Zone
West Jaintia Hills,Meghalaya,Green Zone
RiBhoi,Meghalaya,Green Zone
South Garo Hills,Meghalaya,Green Zone
West Garo Hills,Meghalaya,Green Zone
West Khasi Hills,Meghalaya,Green Zone
North Garo Hills,Meghalaya,Green Zone
East Jaintia Hills,Meghalaya,Green Zone
South West Khasi Hills,Meghalaya,Green Zone
South West Garo Hills,Meghalaya,Green Zone
Aizawl,Mizoram,Green Zone
Champhai,Mizoram,Green Zone
Kolasib,Mizoram,Green Zone
Lawngtlai,Mizoram,Green Zone
Lunglei,Mizoram,Green Zone
Mamit,Mizoram,Green Zone
Saiha,Mizoram,Green Zone
Serchhip,Mizoram,Green Zone
Hnahthial,Mizoram,Green Zone
Sa itual,Mizoram,Green Zone
Khawzawl,Mizoram,Green Zone
Dimapur,Nagaland,Green Zone
Kohima,Nagaland,Green Zone
Mokokchung,Nasaland,Green Zone
Mon,Nagaland,Green Zone
Phek,Naealand,Green Zone
Tuensang,Nagaland,Green Zone
Wokha,Naealand,Green Zone
Zunheboto,Nagaland,Green Zone
Peren,Nasaland,Green Zone
Kiphire,Nagaland,Green Zone
Longleng,Nagaland,Green Zone
Jaiapur,Odisha,Red Zone
Bhadrak,Odisha,Red Zone
Baleshwar,Odisha,Red Zone
Khordha,Odisha,Orange Zone
Sundargarh,Odisha,Orange Zone
Kendrapara,Odisha,Orange Zone
Koraput,Odisha,Orange Zone
Dhenkanal,Odisha,Orange Zone
Kalahandi,Odisha,Orange Zone
Cuttack,Odisha,Green Zone
Puri,Odisha,Green Zone
Anugul,Odisha,Green Zone
Balangir,Odisha,Green Zone
Bargarh,Odisha,Green Zone
Boudh,Odisha,Green Zone
Deogarh,Odisha,Green Zone
Gajapati,Odisha,Green Zone
Ganjam,Odisha,Green Zone
Jagatsinghapur,Odisha,Green Zone
Jharsuguda,Odisha,Green Zone
Kandhamal,Odisha,Green Zone
Kendujhar,Odisha,Green Zone
Malkangiri,Odisha,Green Zone
Mayurbhan,Odisha,Green Zone
Nabarangpur,Odisha,Green Zone
Nayagarh,Odisha,Green Zone
Nuapada,Odisha,Green Zone
Rayagada,Odisha,Green Zone
Sambalpur,Odisha,Green Zone
Sonepur,Odisha,Green Zone
Pondicherry,Puducherry,Orange Zone
Karaikal,Puducherry,Green Zone
Mahe,Puducherry,Green Zone
Yanam,Puducherry,Green Zone
Jalandhar,Punjab,Red Zone
Patiala,Puniab,Red Zone
Ludhiana,Punjab,Red Zone
S.A.S Nagar,Puniab,Orange Zone
Pathankot,Punjab,Orange Zone
Mansa,Puniab,Orange Zone
Tarn Taran,Punjab,Orange Zone
Amritsar,Puniab,Orange Zone
Kapurthala,Punjab,Orange Zone
Hoshiarpur,Punjab,Orange Zone
Faridkot,Puniab,Orange Zone
Sangrur,Puniab,Orange Zone
Shahid Bhagat Singh Nagar (Nawanshahr),Puniab,Orange Zone
Firozepur,Punjab,Orange Zone
Sri Muktsar Sahib,Puniab,Orange Zone
Moga,Punjab,Orange Zone
Gurdaspur,Punjab,Orange Zone
Barnala,Puniab,Orange Zone
Rupnagar (Ropar),Punjab,Green Zone
Fatehgarh Sahib,Punjab,Green Zone
Bathinda,Puniab,Green Zone
FaziIka,Punjab,Green Zone
Jaipur,Rajasthan,Red Zone
Jodhpur,Rajasthan,Red Zone
Kota,Rajasthan,Red Zone
Ajmer,Rajasthan,Red Zone
Bharatpur,Rajasthan,Red Zone
Nagaur,Rajasthan,Red Zone
Banswara,Rajasthan,Red Zone
Jhalawar,Rajasthan,Red Zone
Tonk,Rajasthan,Orange Zone
Jaisalmer,Rajasthan,Orange Zone
Dausa,Rajasthan,Orange Zone
Jhunjhunu,Rajasthan,Orange Zone
Hanumangarh,Rajasthan,Orange Zone
Bhilwara,Rajasthan,Orange Zone
SawaiMadhopur,Rajasthan,Orange Zone
Chittorgarh,Rajasthan,Orange Zone
Dungarpur,Rajasthan,Orange Zone
Udaipur,Rajasthan,Orange Zone
Dholpur,Rajasthan,Orange Zone
Sikar,Rajasthan,Orange Zone
Alwar,Rajasthan,Orange Zone
Bikaner,Rajasthan,Orange Zone
Churu,Rajasthan,Orange Zone
Pali,Rajasthan,Orange Zone
Barmer,Rajasthan,Orange Zone
Karauli,Rajasthan,Orange Zone
Rajsamand,Rajasthan,Orange Zone
Baran,Rajasthan,Green Zone
Bundi,Rajasthan,Green Zone
Ganganagar,Rajasthan,Green Zone
Jalore,Rajasthan,Green Zone
Sirohi,Rajasthan,Green Zone
Pratapgarh,Rajasthan,Green Zone
North District,Sikkim,Green Zone
East District,Sikkim,Green Zone
South District,Sikkim,Green Zone
West District,Sikkim,Green Zone
Chennai,Tamil Nadu,Red Zone
Madurai,Tamil Nadu,Red Zone
Namakkal,Tamil Nadu,Red Zone
Thanjavur,Tamil Nadu,Red Zone
Chengalpattu,Tamil Nadu,Red Zone
Thiruvallur,Tamil Nadu,Red Zone
Tiruppur,Tamil Nadu,Red Zone
Ranipet,Tamil Nadu,Red Zone
Virudhunagar,Tamil Nadu,Red Zone
Thiruvarur,Tamil Nadu,Red Zone
Vellore,Tamil Nadu,Red Zone
Kanchipuram,Tamil Nadu,Red Zone
Theni,Tamil Nadu,Orange Zone
Tenkasi,Tamil Nadu,Orange Zone
Nagapattinam,Tamil Nadu,Orange Zone
Dindigul,Tamil Nadu,Orange Zone
Villupuram,Tamil Nadu,Orange Zone
Coimbatore,Tamil Nadu,Orange Zone
Cuddalore,Tamil Nadu,Orange Zone
Salem,Tamil Nadu,Orange Zone
Karur,Tamil Nadu,Orange Zone
Tuticorin,Tamil Nadu,Orange Zone
Tiruchirappalli,Tamil Nadu,Orange Zone
Tirupathur,Tamil Nadu,Orange Zone
Kannivakumari,Tamil Nadu,Orange Zone
Tiruvannamalai,Tamil Nadu,Orange Zone
Ramanathapuram,Tamil Nadu,Orange Zone
Tirunelveli,Tamil Nadu,Orange Zone
The Nileiris,Tamil Nadu,Orange Zone
Sivaganga,Tamil Nadu,Orange Zone
Perambalur,Tamil Nadu,Orange Zone
Kallakurichi,Tamil Nadu,Orange Zone
Ariyalur,Tamil Nadu,Orange Zone
Erode,Tamil Nadu,Orange Zone
Pudukkottai,Tamil Nadu,Orange Zone
Dharmapuri,Tamil Nadu,Orange Zone
Krishnaeiri,Tamil Nadu,Green Zone
Hyderabad,Telangana,Red Zone
Suryapet,Telangana,Red Zone
Ranga Reddy,Telangana,Red Zone
MedchalMalkajgiri,Telangana,Red Zone
Vikarabad,Telangana,Red Zone
Warangal Urban,Telangana,Red Zone
Nizamabad,Telangana,Orange Zone
Jogulamba Gadwal,Telangana,Orange Zone
Nirmal,Telangana,Orange Zone
Nalgonda,Telangana,Orange Zone
Adilabad,Telangana,Orange Zone
Sangareddy,Telangana,Orange Zone
Kamareddy,Telangana,Orange Zone
KumuramBheemAsifabad,Telangana,Orange Zone
Karimnagar,Telangana,Orange Zone
Khammam,Telangana,Orange Zone
Mahabubnagar,Telangana,Orange Zone
Jagitial,Telangana,Orange Zone
RajannaSircilla,Telangana,Orange Zone
JayashankarBhupalapally,Telangana,Orange Zone
Medak,Telangana,Orange Zone
Jangoan,Telangana,Orange Zone
Narayanpet,Telangana,Orange Zone
Mancherial,Telangana,Orange Zone
Peddapalli,Telangana,Green Zone
Nagarkurnool,Telangana,Green Zone
Mulugu,Telangana,Green Zone
BhadradriKothagudem,Telangana,Green Zone
Mahabubabad,Telangana,Green Zone
Siddipet,Telangana,Green Zone
Warangal Rural,Telaneana,Green Zone
Wanaparthy,Telaneana,Green Zone
YadadriBhuvanagiri,Telangana,Green Zone
North Tripura,Tripura,Orange Zone
Gomati,Tripura,Orange Zone
Dhalai,Tripura,Green Zone
South Tripura,Tripura,Green Zone
West Tripura,Tripura,Green Zone
Khowai,Tripura,Green Zone
Sepahijala,Tripura,Green Zone
Unakoti,Tripura,Green Zone
Agra,Uttar Pradesh,Red Zone
Lucknow,Uttar Pradesh,Red Zone
Saharanpur,Uttar Pradesh,Red Zone
Kanpur Nagar,Uttar Pradesh,Red Zone
Moradabad,Uttar Pradesh,Red Zone
Firozabad,Uttar Pradesh,Red Zone
Gautam Buddha Nagar,Uttar Pradesh,Red Zone
Bulandshahr,Uttar Pradesh,Red Zone
Meerut,Uttar Pradesh,Red Zone
Rae Bareli,Uttar Pradesh,Red Zone
Varanasi,Uttar Pradesh,Red Zone
Biinor,Uttar Pradesh,Red Zone
Amroha,Uttar Pradesh,Red Zone
Sant Kabeer Nagar,Uttar Pradesh,Red Zone
Aligarh,Uttar Pradesh,Red Zone
Muzaffarnagar,Uttar Pradesh,Red Zone
Rampur,Uttar Pradesh,Red Zone
Mathura,Uttar Pradesh,Red Zone
Bareilly,Uttar Pradesh,Red Zone
Ghaziabad,Uttar Pradesh,Orange Zone
Ha pur,Uttar Pradesh,Orange Zone
Baghpat,Uttar Pradesh,Orange Zone
Basti,Uttar Pradesh,Orange Zone
Budaun,Uttar Pradesh,Orange Zone
Sambhal,Uttar Pradesh,Orange Zone
Auraiya,Uttar Pradesh,Orange Zone
Shamli,Uttar Pradesh,Orange Zone
Sitapur,Uttar Pradesh,Orange Zone
Bahraich,Uttar Pradesh,Orange Zone
Kannauj,Uttar Pradesh,Orange Zone
Azamgarh,Uttar Pradesh,Orange Zone
Mainpuri,Uttar Pradesh,Orange Zone
Shravasti,Uttar Pradesh,Orange Zone
Banda,Uttar Pradesh,Orange Zone
Jaunpur,Uttar Pradesh,Orange Zone
Etah,Uttar Pradesh,Orange Zone
Kasganj,Uttar Pradesh,Orange Zone
Sultanpur,Uttar Pradesh,Orange Zone
Prayagraj,Uttar Pradesh,Orange Zone
Jalaun,Uttar Pradesh,Orange Zone
Mirzapur,Uttar Pradesh,Orange Zone
Etawah,Uttar Pradesh,Orange Zone
Prata pgarh,Uttar Pradesh,Orange Zone
Ghazipur,Uttar Pradesh,Orange Zone
Gonda,Uttar Pradesh,Orange Zone
Mau,Uttar Pradesh,Orange Zone
Bhadohi,Uttar Pradesh,Orange Zone
Unnao,Uttar Pradesh,Orange Zone
Pilibhit,Uttar Pradesh,Orange Zone
Balrampur,Uttar Pradesh,Orange Zone
Ayodhya,Uttar Pradesh,Orange Zone
Gorakhpur,Uttar Pradesh,Orange Zone
Jhansi,Uttar Pradesh,Orange Zone
Hardoi,Uttar Pradesh,Orange Zone
Kaushambi,Uttar Pradesh,Orange Zone
Barabanki,Uttar Pradesh,Green Zone
Kheri,Uttar Pradesh,Green Zone
Hath ras,Uttar Pradesh,Green Zone
Maharajganj,Uttar Pradesh,Green Zone
Shahjahanpur,Uttar Pradesh,Green Zone
Ambedkar Nagar,Uttar Pradesh,Green Zone
Ballia,Uttar Pradesh,Green Zone
Chandauli,Uttar Pradesh,Green Zone
Chitrakoot,Uttar Pradesh,Green Zone
Deoria,Uttar Pradesh,Green Zone
Fa rrukhabad,Uttar Pradesh,Green Zone
Fatehpur,Uttar Pradesh,Green Zone
Hamirpur,Uttar Pradesh,Green Zone
Kanpur Dehat,Uttar Pradesh,Green Zone
Kushi Nagar,Uttar Pradesh,Green Zone
Lalitpur,Uttar Pradesh,Green Zone
Mahoba,Uttar Pradesh,Green Zone
Siddharth Nagar,Uttar Pradesh,Green Zone
